Geo_Name,Geo_Code,Mid_Year_Ending,Gender,Age,Population_Estimate
Antrim and Newtownabbey,N09000001,2001,All persons,0,1677
Antrim and Newtownabbey,N09000001,2001,All persons,1,1703
Antrim and Newtownabbey,N09000001,2001,All persons,2,1708
Antrim and Newtownabbey,N09000001,2001,All persons,3,1799
Antrim and Newtownabbey,N09000001,2001,All persons,4,1784
Antrim and Newtownabbey,N09000001,2001,All persons,5,1774
Antrim and Newtownabbey,N09000001,2001,All persons,6,1834
Antrim and Newtownabbey,N09000001,2001,All persons,7,1812
Antrim and Newtownabbey,N09000001,2001,All persons,8,1856
Antrim and Newtownabbey,N09000001,2001,All persons,9,1851
Antrim and Newtownabbey,N09000001,2001,All persons,10,1873
Antrim and Newtownabbey,N09000001,2001,All persons,11,1822
Antrim and Newtownabbey,N09000001,2001,All persons,12,1822
Antrim and Newtownabbey,N09000001,2001,All persons,13,1900
Antrim and Newtownabbey,N09000001,2001,All persons,14,1858
Antrim and Newtownabbey,N09000001,2001,All persons,15,1880
Antrim and Newtownabbey,N09000001,2001,All persons,16,1836
Antrim and Newtownabbey,N09000001,2001,All persons,17,1728
Antrim and Newtownabbey,N09000001,2001,All persons,18,1719
Antrim and Newtownabbey,N09000001,2001,All persons,19,1734
Antrim and Newtownabbey,N09000001,2001,All persons,20,1639
Antrim and Newtownabbey,N09000001,2001,All persons,21,1657
Antrim and Newtownabbey,N09000001,2001,All persons,22,1612
Antrim and Newtownabbey,N09000001,2001,All persons,23,1562
Antrim and Newtownabbey,N09000001,2001,All persons,24,1602
Antrim and Newtownabbey,N09000001,2001,All persons,25,1657
Antrim and Newtownabbey,N09000001,2001,All persons,26,1799
Antrim and Newtownabbey,N09000001,2001,All persons,27,1846
Antrim and Newtownabbey,N09000001,2001,All persons,28,1879
Antrim and Newtownabbey,N09000001,2001,All persons,29,1993
Antrim and Newtownabbey,N09000001,2001,All persons,30,2148
Antrim and Newtownabbey,N09000001,2001,All persons,31,2084
Antrim and Newtownabbey,N09000001,2001,All persons,32,2116
Antrim and Newtownabbey,N09000001,2001,All persons,33,2084
Antrim and Newtownabbey,N09000001,2001,All persons,34,2137
Antrim and Newtownabbey,N09000001,2001,All persons,35,2133
Antrim and Newtownabbey,N09000001,2001,All persons,36,2157
Antrim and Newtownabbey,N09000001,2001,All persons,37,2132
Antrim and Newtownabbey,N09000001,2001,All persons,38,2127
Antrim and Newtownabbey,N09000001,2001,All persons,39,1946
Antrim and Newtownabbey,N09000001,2001,All persons,40,1939
Antrim and Newtownabbey,N09000001,2001,All persons,41,1819
Antrim and Newtownabbey,N09000001,2001,All persons,42,1765
Antrim and Newtownabbey,N09000001,2001,All persons,43,1849
Antrim and Newtownabbey,N09000001,2001,All persons,44,1717
Antrim and Newtownabbey,N09000001,2001,All persons,45,1700
Antrim and Newtownabbey,N09000001,2001,All persons,46,1586
Antrim and Newtownabbey,N09000001,2001,All persons,47,1568
Antrim and Newtownabbey,N09000001,2001,All persons,48,1575
Antrim and Newtownabbey,N09000001,2001,All persons,49,1517
Antrim and Newtownabbey,N09000001,2001,All persons,50,1566
Antrim and Newtownabbey,N09000001,2001,All persons,51,1543
Antrim and Newtownabbey,N09000001,2001,All persons,52,1534
Antrim and Newtownabbey,N09000001,2001,All persons,53,1520
Antrim and Newtownabbey,N09000001,2001,All persons,54,1715
Antrim and Newtownabbey,N09000001,2001,All persons,55,1456
Antrim and Newtownabbey,N09000001,2001,All persons,56,1417
Antrim and Newtownabbey,N09000001,2001,All persons,57,1510
Antrim and Newtownabbey,N09000001,2001,All persons,58,1448
Antrim and Newtownabbey,N09000001,2001,All persons,59,1362
Antrim and Newtownabbey,N09000001,2001,All persons,60,1194
Antrim and Newtownabbey,N09000001,2001,All persons,61,1167
Antrim and Newtownabbey,N09000001,2001,All persons,62,1189
Antrim and Newtownabbey,N09000001,2001,All persons,63,1159
Antrim and Newtownabbey,N09000001,2001,All persons,64,1146
Antrim and Newtownabbey,N09000001,2001,All persons,65,1122
Antrim and Newtownabbey,N09000001,2001,All persons,66,1014
Antrim and Newtownabbey,N09000001,2001,All persons,67,978
Antrim and Newtownabbey,N09000001,2001,All persons,68,939
Antrim and Newtownabbey,N09000001,2001,All persons,69,978
Antrim and Newtownabbey,N09000001,2001,All persons,70,1005
Antrim and Newtownabbey,N09000001,2001,All persons,71,886
Antrim and Newtownabbey,N09000001,2001,All persons,72,864
Antrim and Newtownabbey,N09000001,2001,All persons,73,895
Antrim and Newtownabbey,N09000001,2001,All persons,74,851
Antrim and Newtownabbey,N09000001,2001,All persons,75,777
Antrim and Newtownabbey,N09000001,2001,All persons,76,755
Antrim and Newtownabbey,N09000001,2001,All persons,77,611
Antrim and Newtownabbey,N09000001,2001,All persons,78,637
Antrim and Newtownabbey,N09000001,2001,All persons,79,583
Antrim and Newtownabbey,N09000001,2001,All persons,80,528
Antrim and Newtownabbey,N09000001,2001,All persons,81,517
Antrim and Newtownabbey,N09000001,2001,All persons,82,379
Antrim and Newtownabbey,N09000001,2001,All persons,83,338
Antrim and Newtownabbey,N09000001,2001,All persons,84,266
Antrim and Newtownabbey,N09000001,2001,All persons,85,294
Antrim and Newtownabbey,N09000001,2001,All persons,86,240
Antrim and Newtownabbey,N09000001,2001,All persons,87,214
Antrim and Newtownabbey,N09000001,2001,All persons,88,175
Antrim and Newtownabbey,N09000001,2001,All persons,89,154
Antrim and Newtownabbey,N09000001,2001,All persons,90,519
Antrim and Newtownabbey,N09000001,2001,Females,0,777
Antrim and Newtownabbey,N09000001,2001,Females,1,850
Antrim and Newtownabbey,N09000001,2001,Females,2,832
Antrim and Newtownabbey,N09000001,2001,Females,3,890
Antrim and Newtownabbey,N09000001,2001,Females,4,850
Antrim and Newtownabbey,N09000001,2001,Females,5,850
Antrim and Newtownabbey,N09000001,2001,Females,6,855
Antrim and Newtownabbey,N09000001,2001,Females,7,929
Antrim and Newtownabbey,N09000001,2001,Females,8,886
Antrim and Newtownabbey,N09000001,2001,Females,9,900
Antrim and Newtownabbey,N09000001,2001,Females,10,924
Antrim and Newtownabbey,N09000001,2001,Females,11,865
Antrim and Newtownabbey,N09000001,2001,Females,12,924
Antrim and Newtownabbey,N09000001,2001,Females,13,923
Antrim and Newtownabbey,N09000001,2001,Females,14,883
Antrim and Newtownabbey,N09000001,2001,Females,15,938
Antrim and Newtownabbey,N09000001,2001,Females,16,920
Antrim and Newtownabbey,N09000001,2001,Females,17,867
Antrim and Newtownabbey,N09000001,2001,Females,18,876
Antrim and Newtownabbey,N09000001,2001,Females,19,820
Antrim and Newtownabbey,N09000001,2001,Females,20,783
Antrim and Newtownabbey,N09000001,2001,Females,21,831
Antrim and Newtownabbey,N09000001,2001,Females,22,769
Antrim and Newtownabbey,N09000001,2001,Females,23,786
Antrim and Newtownabbey,N09000001,2001,Females,24,810
Antrim and Newtownabbey,N09000001,2001,Females,25,824
Antrim and Newtownabbey,N09000001,2001,Females,26,908
Antrim and Newtownabbey,N09000001,2001,Females,27,886
Antrim and Newtownabbey,N09000001,2001,Females,28,953
Antrim and Newtownabbey,N09000001,2001,Females,29,993
Antrim and Newtownabbey,N09000001,2001,Females,30,1064
Antrim and Newtownabbey,N09000001,2001,Females,31,1035
Antrim and Newtownabbey,N09000001,2001,Females,32,1057
Antrim and Newtownabbey,N09000001,2001,Females,33,1055
Antrim and Newtownabbey,N09000001,2001,Females,34,1093
Antrim and Newtownabbey,N09000001,2001,Females,35,1021
Antrim and Newtownabbey,N09000001,2001,Females,36,1080
Antrim and Newtownabbey,N09000001,2001,Females,37,1114
Antrim and Newtownabbey,N09000001,2001,Females,38,1016
Antrim and Newtownabbey,N09000001,2001,Females,39,995
Antrim and Newtownabbey,N09000001,2001,Females,40,1014
Antrim and Newtownabbey,N09000001,2001,Females,41,914
Antrim and Newtownabbey,N09000001,2001,Females,42,906
Antrim and Newtownabbey,N09000001,2001,Females,43,930
Antrim and Newtownabbey,N09000001,2001,Females,44,855
Antrim and Newtownabbey,N09000001,2001,Females,45,839
Antrim and Newtownabbey,N09000001,2001,Females,46,785
Antrim and Newtownabbey,N09000001,2001,Females,47,750
Antrim and Newtownabbey,N09000001,2001,Females,48,809
Antrim and Newtownabbey,N09000001,2001,Females,49,772
Antrim and Newtownabbey,N09000001,2001,Females,50,787
Antrim and Newtownabbey,N09000001,2001,Females,51,815
Antrim and Newtownabbey,N09000001,2001,Females,52,746
Antrim and Newtownabbey,N09000001,2001,Females,53,776
Antrim and Newtownabbey,N09000001,2001,Females,54,892
Antrim and Newtownabbey,N09000001,2001,Females,55,747
Antrim and Newtownabbey,N09000001,2001,Females,56,731
Antrim and Newtownabbey,N09000001,2001,Females,57,775
Antrim and Newtownabbey,N09000001,2001,Females,58,708
Antrim and Newtownabbey,N09000001,2001,Females,59,700
Antrim and Newtownabbey,N09000001,2001,Females,60,626
Antrim and Newtownabbey,N09000001,2001,Females,61,640
Antrim and Newtownabbey,N09000001,2001,Females,62,600
Antrim and Newtownabbey,N09000001,2001,Females,63,602
Antrim and Newtownabbey,N09000001,2001,Females,64,594
Antrim and Newtownabbey,N09000001,2001,Females,65,584
Antrim and Newtownabbey,N09000001,2001,Females,66,511
Antrim and Newtownabbey,N09000001,2001,Females,67,528
Antrim and Newtownabbey,N09000001,2001,Females,68,508
Antrim and Newtownabbey,N09000001,2001,Females,69,516
Antrim and Newtownabbey,N09000001,2001,Females,70,535
Antrim and Newtownabbey,N09000001,2001,Females,71,494
Antrim and Newtownabbey,N09000001,2001,Females,72,465
Antrim and Newtownabbey,N09000001,2001,Females,73,505
Antrim and Newtownabbey,N09000001,2001,Females,74,478
Antrim and Newtownabbey,N09000001,2001,Females,75,449
Antrim and Newtownabbey,N09000001,2001,Females,76,443
Antrim and Newtownabbey,N09000001,2001,Females,77,351
Antrim and Newtownabbey,N09000001,2001,Females,78,388
Antrim and Newtownabbey,N09000001,2001,Females,79,356
Antrim and Newtownabbey,N09000001,2001,Females,80,325
Antrim and Newtownabbey,N09000001,2001,Females,81,330
Antrim and Newtownabbey,N09000001,2001,Females,82,236
Antrim and Newtownabbey,N09000001,2001,Females,83,208
Antrim and Newtownabbey,N09000001,2001,Females,84,182
Antrim and Newtownabbey,N09000001,2001,Females,85,205
Antrim and Newtownabbey,N09000001,2001,Females,86,185
Antrim and Newtownabbey,N09000001,2001,Females,87,165
Antrim and Newtownabbey,N09000001,2001,Females,88,126
Antrim and Newtownabbey,N09000001,2001,Females,89,115
Antrim and Newtownabbey,N09000001,2001,Females,90,398
Antrim and Newtownabbey,N09000001,2001,Males,0,900
Antrim and Newtownabbey,N09000001,2001,Males,1,853
Antrim and Newtownabbey,N09000001,2001,Males,2,876
Antrim and Newtownabbey,N09000001,2001,Males,3,909
Antrim and Newtownabbey,N09000001,2001,Males,4,934
Antrim and Newtownabbey,N09000001,2001,Males,5,924
Antrim and Newtownabbey,N09000001,2001,Males,6,979
Antrim and Newtownabbey,N09000001,2001,Males,7,883
Antrim and Newtownabbey,N09000001,2001,Males,8,970
Antrim and Newtownabbey,N09000001,2001,Males,9,951
Antrim and Newtownabbey,N09000001,2001,Males,10,949
Antrim and Newtownabbey,N09000001,2001,Males,11,957
Antrim and Newtownabbey,N09000001,2001,Males,12,898
Antrim and Newtownabbey,N09000001,2001,Males,13,977
Antrim and Newtownabbey,N09000001,2001,Males,14,975
Antrim and Newtownabbey,N09000001,2001,Males,15,942
Antrim and Newtownabbey,N09000001,2001,Males,16,916
Antrim and Newtownabbey,N09000001,2001,Males,17,861
Antrim and Newtownabbey,N09000001,2001,Males,18,843
Antrim and Newtownabbey,N09000001,2001,Males,19,914
Antrim and Newtownabbey,N09000001,2001,Males,20,856
Antrim and Newtownabbey,N09000001,2001,Males,21,826
Antrim and Newtownabbey,N09000001,2001,Males,22,843
Antrim and Newtownabbey,N09000001,2001,Males,23,776
Antrim and Newtownabbey,N09000001,2001,Males,24,792
Antrim and Newtownabbey,N09000001,2001,Males,25,833
Antrim and Newtownabbey,N09000001,2001,Males,26,891
Antrim and Newtownabbey,N09000001,2001,Males,27,960
Antrim and Newtownabbey,N09000001,2001,Males,28,926
Antrim and Newtownabbey,N09000001,2001,Males,29,1000
Antrim and Newtownabbey,N09000001,2001,Males,30,1084
Antrim and Newtownabbey,N09000001,2001,Males,31,1049
Antrim and Newtownabbey,N09000001,2001,Males,32,1059
Antrim and Newtownabbey,N09000001,2001,Males,33,1029
Antrim and Newtownabbey,N09000001,2001,Males,34,1044
Antrim and Newtownabbey,N09000001,2001,Males,35,1112
Antrim and Newtownabbey,N09000001,2001,Males,36,1077
Antrim and Newtownabbey,N09000001,2001,Males,37,1018
Antrim and Newtownabbey,N09000001,2001,Males,38,1111
Antrim and Newtownabbey,N09000001,2001,Males,39,951
Antrim and Newtownabbey,N09000001,2001,Males,40,925
Antrim and Newtownabbey,N09000001,2001,Males,41,905
Antrim and Newtownabbey,N09000001,2001,Males,42,859
Antrim and Newtownabbey,N09000001,2001,Males,43,919
Antrim and Newtownabbey,N09000001,2001,Males,44,862
